protein,tissue,scl,score
50807,BTO:0000944,GO:0005856,4.73686709185
5595,BTO:0000018,GO:0005634,4.73200187998
57369,BTO:0000567,GO:0030054,4.71884744136
5747,BTO:0000552,GO:0005925,4.71680208937
79983,BTO:0000552,GO:0030054,4.70412935875
4000,BTO:0000567,GO:0005634,4.69406402175
1649,BTO:0000018,GO:0005783,4.68836174018
5122,BTO:0001061,GO:0005783,4.68349962296
5317,BTO:0000017,GO:0030054,4.64228998032
2353,BTO:0000093,GO:0005634,4.63415250839
6256,BTO:0000093,GO:0005634,4.6243283064
4790,BTO:0001061,GO:0005634,4.61390477001
7124,BTO:0000195,GO:0005886,4.61148386376
3932,BTO:0000944,GO:0005886,4.60903685528
4790,BTO:0000599,GO:0005634,4.60448948799
10891,BTO:0000599,GO:0031982,4.60048547355
207,BTO:0000018,GO:0005634,4.58983919659
2697,BTO:0000567,GO:0005886,4.58422432929
3162,BTO:0000018,GO:0005634,4.57329611623
468,BTO:0000018,GO:0005783,4.57281269687
9131,BTO:0000093,GO:0005634,4.56944363506
3916,BTO:0000567,GO:0031982,4.56849270341
142,BTO:0000599,GO:0005739,4.56270709311
4790,BTO:0000093,GO:0005634,4.5617243162
6143,BTO:0000093,GO:0005783,4.54620932723
7430,BTO:0000195,GO:0005886,4.54369796456
9644,BTO:0000944,GO:0005856,4.51442494118
206358,BTO:0000195,GO:0005886,4.49509287634
11035,BTO:0000944,GO:0005737,4.4935228971
841,BTO:0001061,GO:0005739,4.49114991926
1950,BTO:0000017,GO:0005856,4.48270710347
836,BTO:0000599,GO:0005634,4.47353873975
7222,BTO:0000007,GO:0005886,4.46261553779
4790,BTO:0000793,GO:0005634,4.46215933582
58484,BTO:0000552,GO:0005737,4.4589544633
207,BTO:0000599,GO:0005634,4.38579415182
1027,BTO:0000093,GO:0005856,4.38104933055
207,BTO:0001061,GO:0005634,4.37959774128
2902,BTO:0000007,GO:0005886,4.3607714348
1509,BTO:0000599,GO:0031982,4.35777225008
5027,BTO:0000007,GO:0005886,4.35111257558
1576,BTO:0000599,GO:0005634,4.34800537654
7013,BTO:0001938,GO:0005634,4.32245081241
5873,BTO:0000018,GO:0031982,4.29526470284
11309,BTO:0000195,GO:0005886,4.29258457097
3853,BTO:0001061,GO:0005634,4.28368694828
4988,BTO:0000007,GO:0005886,4.28026676723
4790,BTO:0000195,GO:0005634,4.27513075557
142,BTO:0000017,GO:0005739,4.26639978659
1111,BTO:0001938,GO:0005856,4.24896754025
4792,BTO:0000567,GO:0005634,4.24771958669
5243,BTO:0000093,GO:0005886,4.24228104036
57819,BTO:0000567,GO:0005634,4.21098438362
335,BTO:0000599,GO:0031982,4.20969138798
5347,BTO:0001938,GO:0005856,4.20236815178
1742,BTO:0000007,GO:0005886,4.19993366824
581,BTO:0000793,GO:0005739,4.19760444459
283871,BTO:0000007,GO:0031982,4.19599672272
22937,BTO:0000599,GO:0005794,4.18873569928
28234,BTO:0000007,GO:0031982,4.18764966831
857,BTO:0000007,GO:0005886,4.18652304813
6948,BTO:0000195,GO:0005886,4.17680372136
10599,BTO:0000007,GO:0031982,4.17480844758
2694,BTO:0000195,GO:0005886,4.16957136921
79727,BTO:0000007,GO:0031982,4.160793902
920,BTO:0000567,GO:0005783,4.14237610859
23435,BTO:0002035,GO:0031982,4.11278701184
140803,BTO:0000007,GO:0005886,4.08748578402
5169,BTO:0000195,GO:0005886,4.07289030011
