protein,tissue,scl,score
54205,BTO:0000793,GO:0005829,4.01538401003
10565,BTO:0000599,GO:0005634,4.01075790037
1302,BTO:0000018,GO:0005739,4.00908523574
4192,BTO:0000599,GO:0005634,4.00758669675
338382,BTO:0000007,GO:0031982,4.00370636554
27043,BTO:0000093,GO:0005737,4.00179014795
6774,BTO:0000018,GO:0005634,3.99859286059
1956,BTO:0000018,GO:0005634,3.99661524277
57817,BTO:0000195,GO:0005886,3.99136873909
57332,BTO:0001061,GO:0005737,3.98904184287
4318,BTO:0000018,GO:0005634,3.98734720185
10804,BTO:0000567,GO:0030054,3.97844998706
836,BTO:0000093,GO:0005829,3.96571327083
1069,BTO:0000567,GO:0005856,3.96531732293
29108,BTO:0000552,GO:0005737,3.96468749527
4926,BTO:0000567,GO:0005856,3.9531200393
9451,BTO:0000093,GO:0005783,3.9486138569
3958,BTO:0001061,GO:0005925,3.94812406348
8161,BTO:0000567,GO:0005634,3.94795954837
842,BTO:0000793,GO:0005739,3.93016964036
79174,BTO:0000007,GO:0005794,3.92987544543
1950,BTO:0000017,GO:0031982,3.91679421609
23237,BTO:0000793,GO:0005856,3.9167140735
5122,BTO:0001061,GO:0005925,3.91329981941
581,BTO:0000093,GO:0005634,3.90975966679
5594,BTO:0000793,GO:0005634,3.90407315936
3569,BTO:0000195,GO:0005886,3.90033881843
113278,BTO:0000195,GO:0005886,3.89855974379
4214,BTO:0000195,GO:0030054,3.89432463841
842,BTO:0000093,GO:0005829,3.89032336677
836,BTO:0000018,GO:0005634,3.86854757184
773,BTO:0000007,GO:0005886,3.86799966117
7409,BTO:0002136,GO:0005634,3.86201709911
1649,BTO:0000093,GO:0005783,3.859627838
9971,BTO:0000599,GO:0005634,3.8573984154
51199,BTO:0000567,GO:0005856,3.85565255589
2026,BTO:0001061,GO:0005829,3.85537389697
5062,BTO:0000017,GO:0005739,3.85238327671
6462,BTO:0000093,GO:0005886,3.84899364688
2316,BTO:0000944,GO:0005856,3.82873877457
2309,BTO:0000093,GO:0005634,3.8278590335
2335,BTO:0000093,GO:0005925,3.81994868495
5321,BTO:0000018,GO:0005829,3.81544569263
7157,BTO:0000093,GO:0005856,3.81210026128
9970,BTO:0000599,GO:0005634,3.80416026126
19,BTO:0000195,GO:0005886,3.80206275593
3226,BTO:0000195,GO:0030054,3.76819959408
10226,BTO:0000567,GO:0031982,3.76071988293
6440,BTO:0000018,GO:0005783,3.75884169772
5371,BTO:0000599,GO:0005634,3.7553954962
596,BTO:0000599,GO:0005739,3.74513494455
1543,BTO:0000093,GO:0005634,3.73164575566
7157,BTO:0001938,GO:0005634,3.72893278289
1525,BTO:0000195,GO:0005886,3.72334847649
2821,BTO:0000195,GO:0005886,3.72194087825
4988,BTO:0000793,GO:0005886,3.71944548046
1302,BTO:0000093,GO:0005739,3.7138751935
5243,BTO:0000093,GO:0005794,3.70751832248
4790,BTO:0000007,GO:0005634,3.7073880344
1432,BTO:0000018,GO:0005634,3.6943062449
6667,BTO:0000093,GO:0005634,3.69167183629
9564,BTO:0001061,GO:0005925,3.68979080638
268,BTO:0000017,GO:0005886,3.68323903753
1950,BTO:0000195,GO:0005886,3.67589905462
6721,BTO:0000599,GO:0005634,3.66641089869
26853,BTO:0000093,GO:0005829,3.64127296687
166929,BTO:0000567,GO:0005794,3.63068477213
5468,BTO:0001061,GO:0031982,3.62529668972
23636,BTO:0000567,GO:0005634,3.61813377908
30061,BTO:0000195,GO:0005886,3.61609826973
5663,BTO:0000793,GO:0005783,3.60531342026
1769,BTO:0000567,GO:0005856,3.60116612097
142,BTO:0001061,GO:0005739,3.59424715119
6720,BTO:0000599,GO:0031982,3.58673150095
9212,BTO:0000567,GO:0005856,3.58545936465
644079,BTO:0000007,GO:0031982,3.58189062518
701,BTO:0000567,GO:0005856,3.57999303583
1950,BTO:0000017,GO:0005634,3.57578682163
308,BTO:0000093,GO:0005634,3.573017017
4780,BTO:0000093,GO:0005634,3.56900435999
2520,BTO:0000017,GO:0005886,3.56767306029
7157,BTO:0000018,GO:0005739,3.56759367382
84876,BTO:0000007,GO:0005886,3.56710535001
5265,BTO:0000599,GO:0005794,3.5646997245
57332,BTO:0001061,GO:0005886,3.55023241398
3172,BTO:0000195,GO:0005634,3.54726274239
196,BTO:0000017,GO:0005829,3.54511315931
912,BTO:0000599,GO:0005886,3.53719856822
26827,BTO:0000567,GO:0005634,3.52053958914
3752,BTO:0000007,GO:0005886,3.51996190619
4899,BTO:0000093,GO:0005634,3.51312950633
54205,BTO:0000093,GO:0005634,3.50718878755
4323,BTO:0002210,GO:0005886,3.50615266942
7018,BTO:0000567,GO:0031982,3.50427973354
5122,BTO:0001061,GO:0005739,3.50276056592
5594,BTO:0000093,GO:0005634,3.49158469863
79983,BTO:0000195,GO:0030054,3.48721015961
2803,BTO:0000567,GO:0005794,3.48207207927
842,BTO:0001061,GO:0005739,3.47441844181
5077,BTO:0005379,GO:0005634,3.47384386945
7431,BTO:0002136,GO:0005856,3.4682479923
836,BTO:0000793,GO:0005783,3.46737967733
5265,BTO:0000599,GO:0005783,3.45907957648
6014,BTO:0002136,GO:0005856,3.45764858001
283,BTO:0000567,GO:0005634,3.45550167458
6532,BTO:0000195,GO:0005886,3.44795133246
6285,BTO:0000793,GO:0031982,3.44236055132
2746,BTO:0000007,GO:0005886,3.43061025499
7295,BTO:0000093,GO:0005634,3.42239335663
3429,BTO:0000093,GO:0005634,3.42075161194
1113,BTO:0001061,GO:0005829,3.4132912492
5970,BTO:0000093,GO:0005634,3.41138950524
9075,BTO:0000018,GO:0005634,3.40960021036
5970,BTO:0000552,GO:0005634,3.40897503026
5601,BTO:0000195,GO:0030054,3.40702226296
6035,BTO:0000567,GO:0005634,3.40318102478
9564,BTO:0000018,GO:0005925,3.4029999914
598,BTO:0000567,GO:0005739,3.4015947428
9611,BTO:0002136,GO:0005634,3.39426892274
4609,BTO:0001061,GO:0005634,3.38927852948
81876,BTO:0000567,GO:0005794,3.38903070858
596,BTO:0000093,GO:0005737,3.37775715513
8976,BTO:0002035,GO:0005925,3.37056861857
5371,BTO:0002136,GO:0005737,3.36400061297
841,BTO:0000093,GO:0005739,3.36216442519
3479,BTO:0005379,GO:0005925,3.36129588404
5743,BTO:0000018,GO:0031982,3.35771395701
4318,BTO:0000599,GO:0005634,3.35064198662
4363,BTO:0000007,GO:0031982,3.34828290714
26136,BTO:0000567,GO:0005925,3.34730561211
10120,BTO:0001061,GO:0005856,3.34551093189
2903,BTO:0000007,GO:0005886,3.34425974935
9677,BTO:0000944,GO:0005886,3.3359844822
27333,BTO:0000567,GO:0005794,3.32526630374
259230,BTO:0000567,GO:0005794,3.32526630374
890,BTO:0000567,GO:0005856,3.31866139003
2309,BTO:0001938,GO:0005634,3.31412124578
3371,BTO:0002035,GO:0005925,3.30956642251
156,BTO:0000007,GO:0005886,3.30949041103
3159,BTO:0000944,GO:0005737,3.30777403421
9447,BTO:0000007,GO:0005737,3.30160959905
999,BTO:0000093,GO:0005634,3.29377453231
6549,BTO:0000195,GO:0005886,3.29179542898
2113,BTO:0001061,GO:0005634,3.28792504617
6772,BTO:0000552,GO:0005634,3.28693028733
6721,BTO:0000195,GO:0005634,3.28210947442
